ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,post1500MaximumCalories00count,post1500MaximumCalories00gini,post1500MaximumCalories00majority,post1500MaximumCalories00max,post1500MaximumCalories00mean,post1500MaximumCalories00median,post1500MaximumCalories00min,post1500MaximumCalories00std,post1500MaximumCalories00sum
348078633.0,1550282944.0,0,A,78,+18.3267485,-064.9712501,00,G4000,United States Virgin Islands,9,78,01802710,VI,1898.25676264,284.815599137,-7217833.40231,1964811.63897,34,21,0.012160587049,12552.3505859,13209.3505859,12788.7306548,12862.6005859,12074.2001953,284.978184211,268563.34375
472233661.0,4644349190.0,0,A,69,+14.9367835,+145.6010210,00,G4000,Commonwealth of the Northern Mariana Islands,9,69,01779809,MP,5116.54370359,915.150950551,16207713.7035,1830396.63492,35,35,0.0608164396045,7522.10009766,10022.9003906,8258.60803571,7525.80029297,7448.10009766,979.225699943,289051.28125
543397709.0,934511639.0,0,A,66,+13.4382961,+144.7729496,00,G4000,Guam,9,66,01802705,GU,1477.8934092,173.411907553,16115657.6723,1473168.16521,36,16,0.00108494730723,7551.70019531,7566.5,7540.13769531,7544.30029297,7507.30029297,14.7347643771,120642.203125
79885244456.0,11749091526.0,1,A,23,+45.4092789,-068.6665979,00,G4000,Maine,1,23,01779787,ME,91634.0174506,1824.44875692,-7704222.30385,4509366.95851,37,1244,0.0867105761924,7958.71972656,11872.7207031,8284.90032154,7965.75976562,2632.95996094,1307.54970272,10306416.0
1.22054577774e+11,19242052501.0,2,A,36,+42.9133974,-075.5962723,00,G4000,New York,1,36,01779796,NY,141296.440791,2666.09194497,-8415277.28034,4321414.63824,38,1855,0.082385004455,12030.4003906,15125.6005859,10738.3245283,11101.8398438,2597.76000977,1594.8167472,19919592.0
2.84331571298e+11,2049092975.0,8,A,32,+39.3310928,-116.6151469,00,G4000,Nevada,4,32,01779793,NV,286380.709679,2356.06622936,-12984708.5784,4019862.68482,39,3920,0.340869673386,0.0,5684.79980469,2538.82397959,2921.60009766,0.0,1554.30268898,9952190.0
1.47784935955e+12,2.45487700921e+11,9,A,02,+63.3461909,-152.8370690,00,G4000,Alaska,4,02,01785533,AK,1723339.64625,25016.5236703,-16815874.5256,5654961.05792,40,21487,0.951067624233,0.0,7170.23974609,147.251093685,0.0,0.0,623.539329688,3163984.25
198019968.0,1306931137.0,0,A,60,-14.2661172,-170.6646022,00,G4000,American Samoa,9,60,01802701,AS,1505.00310624,314.288732187,-18933325.9489,-1528836.16603,41,20,0.00529741214667,6808.0,6915.30029297,6792.46015625,6808.0,6549.0,86.3663119726,135849.203125
1.4645531695e+11,1.04031344385e+11,3,A,26,+44.8441757,-085.6604930,00,G4000,Michigan,2,26,01779789,MI,250485.671823,2883.31306393,-9539830.84527,4473794.68006,42,2247,0.0765918497472,11726.7207031,13629.1005859,10336.9381397,9776.16015625,7356.79980469,1410.00318722,23227100.0
1.34771603434e+11,2960200961.0,7,A,05,+34.8955256,-092.4446262,00,G4000,Arkansas,3,05,00068085,AR,137731.734141,2301.52048904,-10290489.1871,3628512.85471,43,1967,0.0183038554445,16815.5507812,18512.8007812,17282.314184,17213.4003906,16257.1005859,554.877493727,33994312.0
1.21531899917e+11,3928587545.0,6,A,28,+32.6864714,-089.6561377,00,G4000,Mississippi,3,28,01779790,MS,125460.454218,2430.51060453,-9980268.36131,3425787.85844,44,1768,0.019256650732,16530.8496094,18797.5,17165.8687783,17023.5996094,16260.75,593.256584932,30349256.0
1.78039995643e+11,2500220114.0,4,A,29,+38.3507500,-092.4567826,00,G4000,Missouri,2,29,01779791,MO,180540.23489,2567.38599832,-10293469.3835,3936617.60586,45,2494,0.0247012061849,14881.0507812,17304.6503906,15842.5725742,15935.9003906,14103.6005859,683.350845839,39511376.0
3.76963849026e+11,3867840830.0,8,A,30,+47.0511771,-109.6348174,00,G4000,Montana,4,30,00767982,MT,380830.691587,3735.29635484,-12204972.6614,4644128.48396,46,5269,0.169478297873,0.0,8807.04003906,4947.40937559,5030.08007812,0.0,1573.14811721,26067900.0
2.11752875517e+11,1346704962.0,4,A,20,+38.4985464,-098.3834298,00,G4000,Kansas,2,20,00481813,KS,213099.501319,2240.87414276,-10951540.3381,3948089.34831,47,2942,0.223811080273,16392.1503906,17155.0,10628.0353501,9679.80078125,3983.25024414,4186.77156677,31267680.0
92790411854.0,1535839439.0,3,A,18,+39.9030256,-086.2839503,00,G4000,Indiana,2,18,00448508,IN,94326.2949736,1683.62940236,-9605146.235,4070908.90887,48,1340,0.0535425316674,14990.5507812,18118.5996094,14768.2358209,15014.2753906,11968.3505859,1404.3434882,19789436.0
8867837128.0,4923436762.0,0,A,72,+18.2176480,-066.4107992,00,G4000,Puerto Rico,9,72,01779808,PR,13791.2789931,813.664268796,-7393250.85942,1981265.16937,49,159,0.0339088744483,12453.8007812,13636.4003906,12573.0251572,12862.6005859,11052.2001953,763.619220859,1999111.0
1.9634887687e+11,3379900654.0,4,A,46,+44.4467957,-100.2381762,00,G4000,South Dakota,2,46,01785534,SD,199728.979568,2446.32694034,-11157408.7689,4443755.76501,50,2776,0.106693093911,6019.20019531,12249.4003906,7634.33573487,7340.88037109,5362.56005859,1435.58477777,21192916.0
20203936287.0,7131805598.0,1,A,25,+42.1565196,-071.4895915,00,G4000,Massachusetts,1,25,00606926,MA,27335.7398492,1235.77434574,-7959432.76198,4260654.6175,51,375,0.0412393429802,12100.4804688,14034.25,11709.2146667,12008.5,8384.63964844,1012.39178714,4390955.5
1.02283343474e+11,8504608966.0,5,A,51,+37.5222512,-078.6681938,00,G4000,Virginia,3,51,01779803,VA,110786.581523,2588.20793102,-8757613.26377,3863310.87027,52,1576,0.0649471480281,18184.3007812,18724.5,16614.0558376,17762.7265625,10465.2802734,2027.31463504,26183752.0
158350578.0,18633500.0,5,A,11,+38.9041031,-077.0172290,00,G4000,District of Columbia,3,11,01702382,DC,176.984095575,69.0833494035,-8573413.29016,3985849.33382,53,8,0.0153597853443,16067.3007812,17461.5996094,16938.7382812,17149.5253906,16067.3007812,478.020070185,135509.90625
1.44668594415e+11,1076856589.0,4,A,19,+42.0700243,-093.4933473,00,G4000,Iowa,2,19,01779785,IA,145745.455649,2164.17851482,-10408152.9215,4252603.65208,54,2052,0.0542124224007,15121.9501953,15508.8505859,13535.202729,13211.1757812,10347.75,1305.53773884,27774236.0
2.94205282243e+11,1027790845.0,8,A,04,+34.2039355,-111.6063565,00,G4000,Arizona,4,04,01779777,AZ,295234.202593,2463.56688168,-12430201.5001,3570772.17544,55,4057,0.424651116271,0.0,5582.71972656,2250.61572591,2509.76000977,0.0,1696.47140471,9130748.0
