ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500TotalCalories00count,pre1500TotalCalories00gini,pre1500TotalCalories00majority,pre1500TotalCalories00max,pre1500TotalCalories00mean,pre1500TotalCalories00median,pre1500TotalCalories00min,pre1500TotalCalories00std,pre1500TotalCalories00sum
77857913931.0,5074749305.0,5,A,45,+33.8741769,-080.8542699,00,G4000,South Carolina,3,45,01779799,SC,82932.6992126,1629.42132606,-9001458.05543,3535579.2733,27,1145,0.0255225035667,68931.4921875,73430.0234375,69516.2986149,70412.8515625,49827.6210938,3864.40562813,79596161.9141
1.7766295136e+11,3374301679.0,7,A,40,+35.5900512,-097.4868150,00,G4000,Oklahoma,3,40,01102857,OK,181037.551842,2864.30704413,-10853772.7789,3690713.54557,28,2534,0.18460380554,44448.5,66562.09375,45151.6128539,50470.5800781,10483.3203125,14765.6089025,114414186.972
1.06800130794e+11,2352882756.0,6,A,47,+35.8585639,-086.3493573,00,G4000,Tennessee,3,47,01325873,TN,109153.25966,2436.39565629,-9612100.99128,3715148.71271,29,1588,0.0254565568791,59065.7617188,62801.8125,56961.0860261,57342.5117188,38032.3476562,2994.01194227,90454204.6094
2.51471960305e+11,1862600347.0,8,A,56,+42.9918024,-107.5419255,00,G4000,Wyoming,4,56,01779807,WY,253334.1144,2209.264988,-11972570.2671,4327112.12022,30,3420,0.592157996559,0.0,22931.4414062,4135.50564501,1965.94506836,0.0,4763.10495716,14143429.3059
16634306891.0,11777540015.0,9,A,15,+19.8281713,-155.4950401,00,G4000,Hawaii,4,15,01779782,HI,28411.8143213,2293.7542224,-17592813.9339,2266810.73494,31,309,0.182025357481,42034.5703125,66750.9296875,43743.1528589,42249.7695312,2228.37988281,14021.1703838,13516634.2334
1.7870878744e+11,4398990288.0,4,A,38,+47.4421698,-100.4608163,00,G4000,North Dakota,2,38,01779797,ND,183107.753355,2598.84495575,-11184006.3563,4676648.95557,32,2487,0.0993640728483,23596.890625,35961.2382812,23739.3407787,23776.7304688,10585.2900391,4324.56930317,59039740.5166
1.02262419204e+11,2393338940.0,6,A,21,+37.5336844,-085.2929801,00,G4000,Kentucky,3,21,01779786,KY,104655.716475,2387.64973482,-9495120.42995,3864897.57247,33,1502,0.0180124747147,58366.6015625,62483.9609375,58041.5987251,58108.5820312,47810.5625,1922.3188149,87178481.2852
348078633.0,1550282944.0,0,A,78,+18.3267485,-064.9712501,00,G4000,United States Virgin Islands,9,78,01802710,VI,1898.25676264,284.815599137,-7217833.40231,1964811.63897,34,21,0.0467446397839,51227.4023438,62398.03125,57036.7172619,60765.3710938,50754.78125,5091.64370359,1197771.0625
472233661.0,4644349190.0,0,A,69,+14.9367835,+145.6010210,00,G4000,Commonwealth of the Northern Mariana Islands,9,69,01779809,MP,5116.54370359,915.150950551,16207713.7035,1830396.63492,35,33,0.374138393491,8026.54003906,8027.4296875,4569.32846717,1668.40002441,952.799987793,3335.99993162,150787.839417
543397709.0,934511639.0,0,A,66,+13.4382961,+144.7729496,00,G4000,Guam,9,66,01802705,GU,1477.8934092,173.411907553,16115657.6723,1473168.16521,36,20,0.00207501623784,8091.93017578,8119.41992188,8069.92990723,8076.40478516,7981.95019531,31.0479290644,161398.598145
79885244456.0,11749091526.0,1,A,23,+45.4092789,-068.6665979,00,G4000,Maine,1,23,01779787,ME,91634.0174506,1824.44875692,-7704222.30385,4509366.95851,37,1237,0.308079235612,32234.4316406,42501.3828125,20464.0165188,13823.3603516,1102.64001465,11319.843644,25313988.4337
1.22054577774e+11,19242052501.0,2,A,36,+42.9133974,-075.5962723,00,G4000,New York,1,36,01779796,NY,141296.440791,2666.09194497,-8415277.28034,4321414.63824,38,1801,0.15135384095,42048.8203125,55419.3710938,35902.7967461,39870.5507812,1242.7800293,10417.9051516,64660936.9397
2.84331571298e+11,2049092975.0,8,A,32,+39.3310928,-116.6151469,00,G4000,Nevada,4,32,01779793,NV,286380.709679,2356.06622936,-12984708.5784,4019862.68482,39,3918,0.572724043881,0.0,6459.26025391,989.776441495,694.924987793,0.0,1117.76789618,3877944.09778
