ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre15002TotalCaloriescount,pre15002TotalCaloriesgini,pre15002TotalCaloriesmajority,pre15002TotalCaloriesmax,pre15002TotalCaloriesmean,pre15002TotalCaloriesmedian,pre15002TotalCaloriesmin,pre15002TotalCaloriesstd,pre15002TotalCaloriessum
77857913931.0,5074749305.0,5,A,45,+33.8741769,-080.8542699,00,G4000,South Carolina,3,45,01779799,SC,82932.6992126,1629.42132606,-9001458.05543,3535579.2733,27,1082,0.025698782936,70855.75,73452.2109375,69499.451161,70431.34375,46727.3007812,3939.94565707,75198406.1562
1.7766295136e+11,3374301679.0,7,A,40,+35.5900512,-097.4868150,00,G4000,Oklahoma,3,40,01102857,OK,181037.551842,2864.30704413,-10853772.7789,3690713.54557,28,2389,0.185525819868,49000.0625,66417.0234375,45038.1499814,50248.4414062,14131.0507812,14788.4966655,107596140.306
1.06800130794e+11,2352882756.0,6,A,47,+35.8585639,-086.3493573,00,G4000,Tennessee,3,47,01325873,TN,109153.25966,2436.39565629,-9612100.99128,3715148.71271,29,1481,0.0244082277937,58777.75,62766.6484375,57029.1333796,57391.28125,38224.0703125,2851.64208139,84460146.5352
2.51471960305e+11,1862600347.0,8,A,56,+42.9918024,-107.5419255,00,G4000,Wyoming,4,56,01779807,WY,253334.1144,2209.264988,-11972570.2671,4327112.12022,30,3229,0.588289890581,0.0,22931.4414062,4248.52740364,2042.47998047,0.0,4833.68373947,13718494.9864
16634306891.0,11777540015.0,9,A,15,+19.8281713,-155.4950401,00,G4000,Hawaii,4,15,01779782,HI,28411.8143213,2293.7542224,-17592813.9339,2266810.73494,31,304,0.185418874538,26505.2207031,66750.9296875,43758.7414069,42359.1953125,2228.37988281,14272.5456487,13302657.3877
1.7870878744e+11,4398990288.0,4,A,38,+47.4421698,-100.4608163,00,G4000,North Dakota,2,38,01779797,ND,183107.753355,2598.84495575,-11184006.3563,4676648.95557,32,2335,0.0970928804324,31461.9902344,35844.7304688,23847.8367719,23790.640625,10707.4404297,4235.7303683,55684698.8623
1.02262419204e+11,2393338940.0,6,A,21,+37.5336844,-085.2929801,00,G4000,Kentucky,3,21,01779786,KY,104655.716475,2387.64973482,-9495120.42995,3864897.57247,33,1440,0.0181599055959,59241.140625,62483.9609375,58027.722526,58081.8457031,47810.5625,1940.65686455,83559920.4375
348078633.0,1550282944.0,0,A,78,+18.3267485,-064.9712501,00,G4000,United States Virgin Islands,9,78,01802710,VI,1898.25676264,284.815599137,-7217833.40231,1964811.63897,34,22,0.0482203227248,50767.2929688,62398.03125,56378.6720526,56160.546875,50754.78125,5212.24540121,1240330.78516
472233661.0,4644349190.0,0,A,69,+14.9367835,+145.6010210,00,G4000,Commonwealth of the Northern Mariana Islands,9,69,01779809,MP,5116.54370359,915.150950551,16207713.7035,1830396.63492,35,33,0.374138393491,8026.54003906,8027.4296875,4569.32846717,1668.40002441,952.799987793,3335.99993162,150787.839417
543397709.0,934511639.0,0,A,66,+13.4382961,+144.7729496,00,G4000,Guam,9,66,01802705,GU,1477.8934092,173.411907553,16115657.6723,1473168.16521,36,16,0.00213984306292,8073.29980469,8119.41992188,8072.63491821,8079.50976562,7981.95019531,32.7008206524,129162.158691
79885244456.0,11749091526.0,1,A,23,+45.4092789,-068.6665979,00,G4000,Maine,1,23,01779787,ME,91634.0174506,1824.44875692,-7704222.30385,4509366.95851,37,1167,0.310485823469,32234.4316406,42482.3515625,20464.4516972,13638.7207031,1102.64001465,11413.6747305,23882015.1306
1.22054577774e+11,19242052501.0,2,A,36,+42.9133974,-075.5962723,00,G4000,New York,1,36,01779796,NY,141296.440791,2666.09194497,-8415277.28034,4321414.63824,38,1735,0.150566475498,40213.1210938,54990.34375,35876.8550794,39805.1210938,1242.7800293,10379.4137727,62246343.5627
