ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre15002MaximumCaloriescount,pre15002MaximumCaloriesgini,pre15002MaximumCaloriesmajority,pre15002MaximumCaloriesmax,pre15002MaximumCaloriesmean,pre15002MaximumCaloriesmedian,pre15002MaximumCaloriesmin,pre15002MaximumCaloriesstd,pre15002MaximumCaloriessum
1.22054577774e+11,19242052501.0,2,A,36,+42.9133974,-075.5962723,00,G4000,New York,1,36,01779796,NY,141296.440791,2666.09194497,-8415277.28034,4321414.63824,38,1735,0.134053469646,12030.4003906,15125.6005859,10135.6268992,11101.8398438,1242.7800293,2508.93904966,17585312.6702
2.84331571298e+11,2049092975.0,8,A,32,+39.3310928,-116.6151469,00,G4000,Nevada,4,32,01779793,NV,286380.709679,2356.06622936,-12984708.5784,4019862.68482,39,3687,0.50135903781,0.0,3527.36010742,621.943551627,612.149963379,0.0,587.549317819,2293105.87485
1.47784935955e+12,2.45487700921e+11,9,A,02,+63.3461909,-152.8370690,00,G4000,Alaska,4,02,01785533,AK,1723339.64625,25016.5236703,-16815874.5256,5654961.05792,40,20147,0.948816131912,0.0,1841.40002441,51.7077680571,0.0,0.0,210.708487707,1041756.40305
198019968.0,1306931137.0,0,A,60,-14.2661172,-170.6646022,00,G4000,American Samoa,9,60,01802701,AS,1505.00310624,314.288732187,-18933325.9489,-1528836.16603,41,15,0.00646014800935,5009.10009766,5125.91992188,4997.53597005,5009.10009766,4849.79980469,67.2223511865,74963.0395508
1.4645531695e+11,1.04031344385e+11,3,A,26,+44.8441757,-085.6604930,00,G4000,Michigan,2,26,01779789,MI,250485.671823,2883.31306393,-9539830.84527,4473794.68006,42,2113,0.170898373143,11790.9599609,13629.1005859,9060.31077854,9466.640625,3007.62011719,2770.42767467,19144436.675
1.34771603434e+11,2960200961.0,7,A,05,+34.8955256,-092.4446262,00,G4000,Arkansas,3,05,00068085,AR,137731.734141,2301.52048904,-10290489.1871,3628512.85471,43,1805,0.0178793155376,16757.1503906,18512.8007812,17294.6690113,17238.9511719,16348.3505859,541.83128374,31216877.5654
1.21531899917e+11,3928587545.0,6,A,28,+32.6864714,-089.6561377,00,G4000,Mississippi,3,28,01779790,MS,125460.454218,2430.51060453,-9980268.36131,3425787.85844,44,1651,0.0192023792994,16651.3007812,18797.5,17162.7204482,17023.5996094,16260.75,593.355414977,28335651.46
1.78039995643e+11,2500220114.0,4,A,29,+38.3507500,-092.4567826,00,G4000,Missouri,2,29,01779791,MO,180540.23489,2567.38599832,-10293469.3835,3936617.60586,45,2399,0.0248843704172,15048.9501953,17304.6503906,15854.5292798,15957.8007812,14103.6005859,688.680824216,38035015.7422
3.76963849026e+11,3867840830.0,8,A,30,+47.0511771,-109.6348174,00,G4000,Montana,4,30,00767982,MT,380830.691587,3735.29635484,-12204972.6614,4644128.48396,46,4807,0.230912095494,0.0,5600.56005859,3094.82449075,3498.16015625,0.0,1289.22943895,14876821.327
2.11752875517e+11,1346704962.0,4,A,20,+38.4985464,-098.3834298,00,G4000,Kansas,2,20,00481813,KS,213099.501319,2240.87414276,-10951540.3381,3948089.34831,47,2754,0.243435281282,16392.1503906,17326.5507812,10426.2154178,9661.55029297,3223.68017578,4443.42336594,28713797.2607
92790411854.0,1535839439.0,3,A,18,+39.9030256,-086.2839503,00,G4000,Indiana,2,18,00448508,IN,94326.2949736,1683.62940236,-9605146.235,4070908.90887,48,1268,0.0533697006499,15016.1005859,18020.0507812,14754.055711,15016.1005859,11968.3505859,1396.02643709,18708142.6416
8867837128.0,4923436762.0,0,A,72,+18.2176480,-066.4107992,00,G4000,Puerto Rico,9,72,01779808,PR,13791.2789931,813.664268796,-7393250.85942,1981265.16937,49,148,0.0349084225676,12453.8007812,13636.4003906,12546.6287545,12849.8256836,10606.9003906,784.781935094,1856901.05566
1.9634887687e+11,3379900654.0,4,A,46,+44.4467957,-100.2381762,00,G4000,South Dakota,2,46,01785534,SD,199728.979568,2446.32694034,-11157408.7689,4443755.76501,50,2607,0.128342003126,5548.0,12548.7001953,7396.22101806,7124.80029297,3609.12011719,1660.56789407,19281948.1941
20203936287.0,7131805598.0,1,A,25,+42.1565196,-071.4895915,00,G4000,Massachusetts,1,25,00606926,MA,27335.7398492,1235.77434574,-7959432.76198,4260654.6175,51,346,0.0578497754138,12071.2802734,14019.6503906,11515.4591664,11995.3603516,4969.84033203,1509.6699943,3984348.87158
1.02283343474e+11,8504608966.0,5,A,51,+37.5222512,-078.6681938,00,G4000,Virginia,3,51,01779803,VA,110786.581523,2588.20793102,-8757613.26377,3863310.87027,52,1456,0.0648044705046,17801.0507812,18724.5,16596.54637,17739.0,10325.1201172,2015.59248374,24164571.5146
158350578.0,18633500.0,5,A,11,+38.9041031,-077.0172290,00,G4000,District of Columbia,3,11,01702382,DC,176.984095575,69.0833494035,-8573413.29016,3985849.33382,53,7,0.0149311900226,16067.3007812,17461.5996094,16802.5145089,16793.6503906,16067.3007812,442.968045699,117617.601562
1.44668594415e+11,1076856589.0,4,A,19,+42.0700243,-093.4933473,00,G4000,Iowa,2,19,01779785,IA,145745.455649,2164.17851482,-10408152.9215,4252603.65208,54,1878,0.0537503681301,12328.2402344,15381.1005859,13531.8645984,13205.7001953,10347.75,1292.5824496,25412841.7158
2.94205282243e+11,1027790845.0,8,A,04,+34.2039355,-111.6063565,00,G4000,Arizona,4,04,01779777,AZ,295234.202593,2463.56688168,-12430201.5001,3570772.17544,55,3775,0.559817242766,0.0,5004.88037109,1434.48854904,1132.96008301,0.0,1459.13795814,5415194.27261
