ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,post1500TotalCalories0count,post1500TotalCalories0gini,post1500TotalCalories0majority,post1500TotalCalories0max,post1500TotalCalories0mean,post1500TotalCalories0median,post1500TotalCalories0min,post1500TotalCalories0std,post1500TotalCalories0sum
79885244456.0,11749091526.0,1,A,23,+45.4092789,-068.6665979,00,G4000,Maine,1,23,01779787,ME,91634.0174506,1824.44875692,-7704222.30385,4509366.95851,37,1244,0.174265902448,124147.625,168456.71875,100048.192926,85959.0546875,23182.3300781,31288.840165,124459952.0
1.22054577774e+11,19242052501.0,2,A,36,+42.9133974,-075.5962723,00,G4000,New York,1,36,01779796,NY,141296.440791,2666.09194497,-8415277.28034,4321414.63824,38,1855,0.10950429158,123186.945312,181547.3125,143208.625337,155591.15625,20818.0507812,29167.7447329,265652000.0
2.84331571298e+11,2049092975.0,8,A,32,+39.3310928,-116.6151469,00,G4000,Nevada,4,32,01779793,NV,286380.709679,2356.06622936,-12984708.5784,4019862.68482,39,3127,0.263191855194,1672.65002441,59167.9492188,24662.4752159,25567.4199219,126.25,11542.263758,77119560.0
1.47784935955e+12,2.45487700921e+11,9,A,02,+63.3461909,-152.8370690,00,G4000,Alaska,4,02,01785533,AK,1723339.64625,25016.5236703,-16815874.5256,5654961.05792,40,1531,0.369482099744,438.129974365,64662.4101562,14020.4611365,11151.25,346.5,10444.7537095,21465326.0
198019968.0,1306931137.0,0,A,60,-14.2661172,-170.6646022,00,G4000,American Samoa,9,60,01802701,AS,1505.00310624,314.288732187,-18933325.9489,-1528836.16603,41,20,0.00530048964006,46888.5742188,46962.1210938,46579.5,46710.1992188,44748.078125,625.099352103,931590.0
1.4645531695e+11,1.04031344385e+11,3,A,26,+44.8441757,-085.6604930,00,G4000,Michigan,2,26,01779789,MI,250485.671823,2883.31306393,-9539830.84527,4473794.68006,42,2247,0.148818076042,178288.375,182342.8125,136221.778371,148313.5,65563.90625,36334.760437,306090336.0
1.34771603434e+11,2960200961.0,7,A,05,+34.8955256,-092.4446262,00,G4000,Arkansas,3,05,00068085,AR,137731.734141,2301.52048904,-10290489.1871,3628512.85471,43,1967,0.0271138457152,183497.015625,208342.09375,187969.854601,187652.546875,171140.0,9079.67224795,369736704.0
1.21531899917e+11,3928587545.0,6,A,28,+32.6864714,-089.6561377,00,G4000,Mississippi,3,28,01779790,MS,125460.454218,2430.51060453,-9980268.36131,3425787.85844,44,1768,0.0216765965421,168661.078125,194027.203125,169284.0181,167874.703125,159329.265625,6884.30112845,299294144.0
1.78039995643e+11,2500220114.0,4,A,29,+38.3507500,-092.4567826,00,G4000,Missouri,2,29,01779791,MO,180540.23489,2567.38599832,-10293469.3835,3936617.60586,45,2494,0.0100944744767,181980.296875,192075.6875,183992.173216,184140.1875,169438.84375,3422.47687383,458876480.0
3.76963849026e+11,3867840830.0,8,A,30,+47.0511771,-109.6348174,00,G4000,Montana,4,30,00767982,MT,380830.691587,3735.29635484,-12204972.6614,4644128.48396,46,5164,0.164634990261,58161.4960938,95477.4453125,52634.4725019,54847.4257812,336.200012207,15784.6332882,271804416.0
2.11752875517e+11,1346704962.0,4,A,20,+38.4985464,-098.3834298,00,G4000,Kansas,2,20,00481813,KS,213099.501319,2240.87414276,-10951540.3381,3948089.34831,47,2942,0.160620291008,128185.554688,189992.140625,139534.183549,136326.5,59623.1914062,39595.2072601,410509568.0
92790411854.0,1535839439.0,3,A,18,+39.9030256,-086.2839503,00,G4000,Indiana,2,18,00448508,IN,94326.2949736,1683.62940236,-9605146.235,4070908.90887,48,1340,0.0110986552457,181603.25,184035.796875,177523.677612,178500.78125,165862.46875,3532.20267501,237881728.0
8867837128.0,4923436762.0,0,A,72,+18.2176480,-066.4107992,00,G4000,Puerto Rico,9,72,01779808,PR,13791.2789931,813.664268796,-7393250.85942,1981265.16937,49,159,0.0280576998053,128648.820312,160785.921875,132151.597484,132754.859375,114144.773438,7142.98915989,21012104.0
1.9634887687e+11,3379900654.0,4,A,46,+44.4467957,-100.2381762,00,G4000,South Dakota,2,46,01785534,SD,199728.979568,2446.32694034,-11157408.7689,4443755.76501,50,2776,0.0950714094583,123256.25,150411.4375,100774.121037,97181.625,66832.2734375,16895.9273424,279748960.0
20203936287.0,7131805598.0,1,A,25,+42.1565196,-071.4895915,00,G4000,Massachusetts,1,25,00606926,MA,27335.7398492,1235.77434574,-7959432.76198,4260654.6175,51,375,0.0528364778742,168638.78125,186876.234375,166396.810667,171950.203125,84787.1640625,18072.7526902,62398804.0
1.02283343474e+11,8504608966.0,5,A,51,+37.5222512,-078.6681938,00,G4000,Virginia,3,51,01779803,VA,110786.581523,2588.20793102,-8757613.26377,3863310.87027,52,1576,0.0395116724125,187334.21875,194584.359375,178786.984772,183251.8125,133353.078125,12878.8987643,281768288.0
158350578.0,18633500.0,5,A,11,+38.9041031,-077.0172290,00,G4000,District of Columbia,3,11,01702382,DC,176.984095575,69.0833494035,-8573413.29016,3985849.33382,53,8,0.00452716695619,178069.140625,182987.0625,181510.0,182157.90625,178069.140625,1574.71679994,1452080.0
1.44668594415e+11,1076856589.0,4,A,19,+42.0700243,-093.4933473,00,G4000,Iowa,2,19,01779785,IA,145745.455649,2164.17851482,-10408152.9215,4252603.65208,54,2052,0.0332516379653,182703.109375,185793.15625,172828.382066,177373.625,138265.765625,10673.1919222,354643840.0
2.94205282243e+11,1027790845.0,8,A,04,+34.2039355,-111.6063565,00,G4000,Arizona,4,04,01779777,AZ,295234.202593,2463.56688168,-12430201.5001,3570772.17544,55,2819,0.328108631547,3187.48999023,75524.6640625,31867.8708762,31071.2695312,727.16003418,18255.8539242,89835528.0
