ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500MaximumCalories0count,pre1500MaximumCalories0gini,pre1500MaximumCalories0majority,pre1500MaximumCalories0max,pre1500MaximumCalories0mean,pre1500MaximumCalories0median,pre1500MaximumCalories0min,pre1500MaximumCalories0std,pre1500MaximumCalories0sum
1.7870878744e+11,4398990288.0,4,A,38,+47.4421698,-100.4608163,00,G4000,North Dakota,2,38,01779797,ND,183107.753355,2598.84495575,-11184006.3563,4676648.95557,32,2487,0.091172556778,6161.20019531,9554.24023438,6334.6607427,6142.95019531,4274.87988281,1053.16026226,15754301.2671
1.02262419204e+11,2393338940.0,6,A,21,+37.5336844,-085.2929801,00,G4000,Kentucky,3,21,01779786,KY,104655.716475,2387.64973482,-9495120.42995,3864897.57247,33,1502,0.0250967364856,16764.4511719,18198.9003906,16875.7899675,17025.4248047,13994.1005859,767.533305987,25347436.5312
348078633.0,1550282944.0,0,A,78,+18.3267485,-064.9712501,00,G4000,United States Virgin Islands,9,78,01802710,VI,1898.25676264,284.815599137,-7217833.40231,1964811.63897,34,21,0.0121605587549,12552.3505859,13209.3505859,12788.7313058,12862.6005859,12074.2001953,284.978184313,268563.357422
472233661.0,4644349190.0,0,A,69,+14.9367835,+145.6010210,00,G4000,Commonwealth of the Northern Mariana Islands,9,69,01779809,MP,5116.54370359,915.150950551,16207713.7035,1830396.63492,35,33,0.315879422917,5263.97998047,5263.97998047,3230.22905015,1668.40002441,952.799987793,1961.35846295,106597.558655
543397709.0,934511639.0,0,A,66,+13.4382961,+144.7729496,00,G4000,Guam,9,66,01802705,GU,1477.8934092,173.411907553,16115657.6723,1473168.16521,36,20,0.00198305049952,5189.64013672,5207.33984375,5176.89597168,5180.79003906,5122.37988281,19.109511269,103537.919434
79885244456.0,11749091526.0,1,A,23,+45.4092789,-068.6665979,00,G4000,Maine,1,23,01779787,ME,91634.0174506,1824.44875692,-7704222.30385,4509366.95851,37,1237,0.218385224888,4596.08007812,11866.8798828,6315.49656841,5828.3203125,1102.64001465,2460.49382857,7812269.25513
1.22054577774e+11,19242052501.0,2,A,36,+42.9133974,-075.5962723,00,G4000,New York,1,36,01779796,NY,141296.440791,2666.09194497,-8415277.28034,4321414.63824,38,1801,0.134922400819,12024.5605469,15125.6005859,10142.5734722,11107.6806641,1242.7800293,2520.2398936,18266774.8235
2.84331571298e+11,2049092975.0,8,A,32,+39.3310928,-116.6151469,00,G4000,Nevada,4,32,01779793,NV,286380.709679,2356.06622936,-12984708.5784,4019862.68482,39,2659,0.26597170726,1331.52001953,3527.36010742,931.06129284,714.559997559,318.399993896,496.65266438,2475691.97766
1.47784935955e+12,2.45487700921e+11,9,A,02,+63.3461909,-152.8370690,00,G4000,Alaska,4,02,01785533,AK,1723339.64625,25016.5236703,-16815874.5256,5654961.05792,40,1290,0.198043431002,816.969970703,1651.64990234,820.238599768,816.969970703,321.859985352,284.328684043,1058107.7937
198019968.0,1306931137.0,0,A,60,-14.2661172,-170.6646022,00,G4000,American Samoa,9,60,01802701,AS,1505.00310624,314.288732187,-18933325.9489,-1528836.16603,41,22,0.00678481521892,5009.10009766,5125.91992188,4985.76815518,5009.10009766,4849.79980469,70.3938813074,109686.899414
