ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500AverageCalories0count,pre1500AverageCalories0gini,pre1500AverageCalories0majority,pre1500AverageCalories0max,pre1500AverageCalories0mean,pre1500AverageCalories0median,pre1500AverageCalories0min,pre1500AverageCalories0std,pre1500AverageCalories0sum
77857913931.0,5074749305.0,5,A,45,+33.8741769,-080.8542699,00,G4000,South Carolina,3,45,01779799,SC,82932.6992126,1629.42132606,-9001458.05543,3535579.2733,27,1145,0.0248473687368,6893.14892578,7428.89453125,6958.7436532,7044.15576172,5219.37011719,372.243910309,7967761.48291
1.7766295136e+11,3374301679.0,7,A,40,+35.5900512,-097.4868150,00,G4000,Oklahoma,3,40,01102857,OK,181037.551842,2864.30704413,-10853772.7789,3690713.54557,28,2534,0.186291395785,6484.84228516,6960.16894531,4866.63214087,5480.80517578,1310.41503906,1614.6846386,12332045.845
1.06800130794e+11,2352882756.0,6,A,47,+35.8585639,-086.3493573,00,G4000,Tennessee,3,47,01325873,TN,109153.25966,2436.39565629,-9612100.99128,3715148.71271,29,1588,0.0199379968392,6562.86230469,7372.0,6398.85948231,6391.02905273,5433.19287109,230.784494526,10161388.8579
2.51471960305e+11,1862600347.0,8,A,56,+42.9918024,-107.5419255,00,G4000,Wyoming,4,56,01779807,WY,253334.1144,2209.264988,-11972570.2671,4327112.12022,30,2929,0.272520739461,580.579956055,3275.92016602,1091.22730665,1019.94799805,391.160003662,540.072513713,3196204.78119
16634306891.0,11777540015.0,9,A,15,+19.8281713,-155.4950401,00,G4000,Hawaii,4,15,01779782,HI,28411.8143213,2293.7542224,-17592813.9339,2266810.73494,31,309,0.141623189588,4203.45703125,6058.77197266,4363.95373338,4215.02294922,2228.37988281,1078.75021046,1348461.70361
1.7870878744e+11,4398990288.0,4,A,38,+47.4421698,-100.4608163,00,G4000,North Dakota,2,38,01779797,ND,183107.753355,2598.84495575,-11184006.3563,4676648.95557,32,2487,0.0973838176957,3888.28442383,5137.31982422,3397.62287523,3396.67578125,1897.68432617,603.061969099,8449888.0907
1.02262419204e+11,2393338940.0,6,A,21,+37.5336844,-085.2929801,00,G4000,Kentucky,3,21,01779786,KY,104655.716475,2387.64973482,-9495120.42995,3864897.57247,33,1502,0.0162724275787,6361.96337891,7007.76708984,6463.43770643,6460.73022461,5830.07226562,185.513990174,9708083.43506
348078633.0,1550282944.0,0,A,78,+18.3267485,-064.9712501,00,G4000,United States Virgin Islands,9,78,01802710,VI,1898.25676264,284.815599137,-7217833.40231,1964811.63897,34,21,0.023899053935,5122.74023438,5672.54833984,5384.62765067,5524.12451172,5075.47802734,235.833451516,113077.180664
472233661.0,4644349190.0,0,A,69,+14.9367835,+145.6010210,00,G4000,Commonwealth of the Northern Mariana Islands,9,69,01779809,MP,5116.54370359,915.150950551,16207713.7035,1830396.63492,35,33,0.269597102101,4013.27001953,4013.71484375,2629.99150872,1668.40002441,952.799987793,1348.79388672,86789.7197876
543397709.0,934511639.0,0,A,66,+13.4382961,+144.7729496,00,G4000,Guam,9,66,01802705,GU,1477.8934092,173.411907553,16115657.6723,1473168.16521,36,20,0.00207501623784,4045.96508789,4059.70996094,4034.96495361,4038.20239258,3990.97509766,15.5239645322,80699.2990723
