ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500AverageCaloriescount,pre1500AverageCaloriesgini,pre1500AverageCaloriesmajority,pre1500AverageCaloriesmax,pre1500AverageCaloriesmean,pre1500AverageCaloriesmedian,pre1500AverageCaloriesmin,pre1500AverageCaloriesstd,pre1500AverageCaloriessum
77857913931.0,5074749305.0,5,A,45,+33.8741769,-080.8542699,00,G4000,South Carolina,3,45,01779799,SC,82932.6992126,1629.42132606,-9001458.05543,3535579.2733,27,1145,0.0255225039237,4595.43261719,4895.33447266,4634.41992188,4694.18994141,3321.84130859,257.627042815,5306410.81055
1.7766295136e+11,3374301679.0,7,A,40,+35.5900512,-097.4868150,00,G4000,Oklahoma,3,40,01102857,OK,181037.551842,2864.30704413,-10853772.7789,3690713.54557,28,2534,0.184603805049,4118.56542969,4437.47265625,3010.10752431,3364.70544434,698.888000488,984.373924095,7627612.46661
1.06800130794e+11,2352882756.0,6,A,47,+35.8585639,-086.3493573,00,G4000,Tennessee,3,47,01325873,TN,109153.25966,2436.39565629,-9612100.99128,3715148.71271,29,1588,0.0254565570062,3937.71728516,4186.78759766,3797.40573328,3822.83398438,2535.48999023,199.600796569,6030280.30444
2.51471960305e+11,1862600347.0,8,A,56,+42.9918024,-107.5419255,00,G4000,Wyoming,4,56,01779807,WY,253334.1144,2209.264988,-11972570.2671,4327112.12022,30,3420,0.592157996504,0.0,1528.76269531,275.700376349,131.06300354,0.0,317.54033044,942895.287113
16634306891.0,11777540015.0,9,A,15,+19.8281713,-155.4950401,00,G4000,Hawaii,4,15,01779782,HI,28411.8143213,2293.7542224,-17592813.9339,2266810.73494,31,309,0.182025358247,2802.3046875,4450.06201172,2916.21019856,2816.65136719,148.558654785,934.744697927,901108.951355
1.7870878744e+11,4398990288.0,4,A,38,+47.4421698,-100.4608163,00,G4000,North Dakota,2,38,01779797,ND,183107.753355,2598.84495575,-11184006.3563,4676648.95557,32,2487,0.0993640730643,1186.93798828,2397.41601562,1582.62271853,1585.11535645,705.686035156,288.30462087,3935982.70099
1.02262419204e+11,2393338940.0,6,A,21,+37.5336844,-085.2929801,00,G4000,Kentucky,3,21,01779786,KY,104655.716475,2387.64973482,-9495120.42995,3864897.57247,33,1502,0.0180124747454,3956.97216797,4165.59716797,3869.43991134,3873.90527344,3187.37084961,128.154589182,5811898.74683
348078633.0,1550282944.0,0,A,78,+18.3267485,-064.9712501,00,G4000,United States Virgin Islands,9,78,01802710,VI,1898.25676264,284.815599137,-7217833.40231,1964811.63897,34,21,0.0467446460006,3415.15991211,4159.86865234,3802.44775391,4051.0246582,3383.65209961,339.442945205,79851.402832
472233661.0,4644349190.0,0,A,69,+14.9367835,+145.6010210,00,G4000,Commonwealth of the Northern Mariana Islands,9,69,01779809,MP,5116.54370359,915.150950551,16207713.7035,1830396.63492,35,33,0.374138397222,2675.51342773,2675.81005859,1523.10946563,556.133361816,317.600006104,1111.99995556,50262.6123657
543397709.0,934511639.0,0,A,66,+13.4382961,+144.7729496,00,G4000,Guam,9,66,01802705,GU,1477.8934092,173.411907553,16115657.6723,1473168.16521,36,20,0.00207501867692,2697.31005859,2706.47314453,2689.97661133,2692.13500977,2660.64990234,10.3493340044,53799.5322266
79885244456.0,11749091526.0,1,A,23,+45.4092789,-068.6665979,00,G4000,Maine,1,23,01779787,ME,91634.0174506,1824.44875692,-7704222.30385,4509366.95851,37,1237,0.308079237099,2148.9621582,2833.42529297,1364.26776962,921.557373047,73.5093307495,754.656247365,1687599.23103
1.22054577774e+11,19242052501.0,2,A,36,+42.9133974,-075.5962723,00,G4000,New York,1,36,01779796,NY,141296.440791,2666.09194497,-8415277.28034,4321414.63824,38,1801,0.151353840841,3062.88012695,3694.62475586,2393.51978075,2658.03662109,82.8520050049,694.527009054,4310729.12512
2.84331571298e+11,2049092975.0,8,A,32,+39.3310928,-116.6151469,00,G4000,Nevada,4,32,01779793,NV,286380.709679,2356.06622936,-12984708.5784,4019862.68482,39,3918,0.572724043782,0.0,430.617340088,65.9850960995,46.328332901,0.0,74.51785971,258529.606518
1.47784935955e+12,2.45487700921e+11,9,A,02,+63.3461909,-152.8370690,00,G4000,Alaska,4,02,01785533,AK,1723339.64625,25016.5236703,-16815874.5256,5654961.05792,40,21326,0.951490013451,0.0,110.109992981,3.30772388383,0.0,0.0,13.8444136835,70540.5195465
198019968.0,1306931137.0,0,A,60,-14.2661172,-170.6646022,00,G4000,American Samoa,9,60,01802701,AS,1505.00310624,314.288732187,-18933325.9489,-1528836.16603,41,22,0.00388296643277,2401.2800293,2413.4831543,2396.57724831,2401.2800293,2358.26660156,18.9677525315,52724.6994629
1.4645531695e+11,1.04031344385e+11,3,A,26,+44.8441757,-085.6604930,00,G4000,Michigan,2,26,01779789,MI,250485.671823,2883.31306393,-9539830.84527,4473794.68006,42,2226,0.220188685875,2782.31201172,3322.32470703,2138.38457769,2420.05810547,614.096008301,853.764957319,4760044.06995
1.34771603434e+11,2960200961.0,7,A,05,+34.8955256,-092.4446262,00,G4000,Arkansas,3,05,00068085,AR,137731.734141,2301.52048904,-10290489.1871,3628512.85471,43,1948,0.0320062781687,4594.87060547,4650.80371094,4176.56416524,4142.28076172,3777.12060547,235.205839441,8135946.9939
1.21531899917e+11,3928587545.0,6,A,28,+32.6864714,-089.6561377,00,G4000,Mississippi,3,28,01779790,MS,125460.454218,2430.51060453,-9980268.36131,3425787.85844,44,1735,0.0262806513924,4022.62670898,4435.15136719,4041.08377204,4047.8527832,3685.86669922,186.014870269,7011280.34448
1.78039995643e+11,2500220114.0,4,A,29,+38.3507500,-092.4567826,00,G4000,Missouri,2,29,01779791,MO,180540.23489,2567.38599832,-10293469.3835,3936617.60586,45,2480,0.0167495578189,4018.28076172,4222.89355469,3953.44796851,3959.5982666,3568.73876953,115.889742595,9804550.96191
3.76963849026e+11,3867840830.0,8,A,30,+47.0511771,-109.6348174,00,G4000,Montana,4,30,00767982,MT,380830.691587,3735.29635484,-12204972.6614,4644128.48396,46,5206,0.319655089242,0.0,1276.32067871,505.225596376,476.508346558,0.0,285.174008283,2630204.45473
2.11752875517e+11,1346704962.0,4,A,20,+38.4985464,-098.3834298,00,G4000,Kansas,2,20,00481813,KS,213099.501319,2240.87414276,-10951540.3381,3948089.34831,47,2822,0.211691849601,1373.96203613,4247.20361328,2743.38546165,2577.01464844,896.3046875,1016.19434388,7741833.77277
92790411854.0,1535839439.0,3,A,18,+39.9030256,-086.2839503,00,G4000,Indiana,2,18,00448508,IN,94326.2949736,1683.62940236,-9605146.235,4070908.90887,48,1315,0.0469980895849,3876.99145508,4165.59716797,3581.13778127,3544.31396484,3042.80688477,292.226426692,4709196.18237
8867837128.0,4923436762.0,0,A,72,+18.2176480,-066.4107992,00,G4000,Puerto Rico,9,72,01779808,PR,13791.2789931,813.664268796,-7393250.85942,1981265.16937,49,158,0.0303357318009,4115.75195312,4326.86425781,4011.11465493,4069.17712402,3267.00146484,227.492523806,633756.115479
1.9634887687e+11,3379900654.0,4,A,46,+44.4467957,-100.2381762,00,G4000,South Dakota,2,46,01785534,SD,199728.979568,2446.32694034,-11157408.7689,4443755.76501,50,2781,0.143358980906,2185.55737305,3252.90209961,1798.52590408,1716.43273926,620.20135498,451.696954418,5001700.53925
20203936287.0,7131805598.0,1,A,25,+42.1565196,-071.4895915,00,G4000,Massachusetts,1,25,00606926,MA,27335.7398492,1235.77434574,-7959432.76198,4260654.6175,51,360,0.0667180162713,3094.26538086,3387.13818359,2845.60301175,2957.47229004,822.496704102,399.18588188,1024417.08423
1.02283343474e+11,8504608966.0,5,A,51,+37.5222512,-078.6681938,00,G4000,Virginia,3,51,01779803,VA,110786.581523,2588.20793102,-8757613.26377,3863310.87027,52,1544,0.0678468323682,4346.09716797,4449.69433594,3937.02028407,4189.25,2264.45068359,500.902644855,6078759.3186
158350578.0,18633500.0,5,A,11,+38.9041031,-077.0172290,00,G4000,District of Columbia,3,11,01702382,DC,176.984095575,69.0833494035,-8573413.29016,3985849.33382,53,8,0.0094582654953,3933.00683594,4159.74658203,4071.37768555,4080.1829834,3933.00683594,69.4476380429,32571.0214844
1.44668594415e+11,1076856589.0,4,A,19,+42.0700243,-093.4933473,00,G4000,Iowa,2,19,01779785,IA,145745.455649,2164.17851482,-10408152.9215,4252603.65208,54,2054,0.0552804924247,3057.59545898,3936.29418945,3360.9827535,3264.97399902,2628.67285156,325.564774445,6903458.57568
2.94205282243e+11,1027790845.0,8,A,04,+34.2039355,-111.6063565,00,G4000,Arizona,4,04,01779777,AZ,295234.202593,2463.56688168,-12430201.5001,3570772.17544,55,4049,0.651999060692,0.0,1486.71606445,270.770778226,128.790664673,0.0,342.890938564,1096350.88104
