ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,post1500AverageCaloriescount,post1500AverageCaloriesgini,post1500AverageCaloriesmajority,post1500AverageCaloriesmax,post1500AverageCaloriesmean,post1500AverageCaloriesmedian,post1500AverageCaloriesmin,post1500AverageCaloriesstd,post1500AverageCaloriessum
1.7870878744e+11,4398990288.0,4,A,38,+47.4421698,-100.4608163,00,G4000,North Dakota,2,38,01779797,ND,183107.753355,2598.84495575,-11184006.3563,4676648.95557,32,2592,0.0800700864271,1352.11853027,1817.25378418,1275.70196759,1256.72338867,744.923828125,184.919869199,3306619.5
1.02262419204e+11,2393338940.0,6,A,21,+37.5336844,-085.2929801,00,G4000,Kentucky,3,21,01779786,KY,104655.716475,2387.64973482,-9495120.42995,3864897.57247,33,1518,0.011924969281,2754.44873047,2876.73510742,2738.70009881,2742.63134766,2513.99194336,59.0957107606,4157346.75
348078633.0,1550282944.0,0,A,78,+18.3267485,-064.9712501,00,G4000,United States Virgin Islands,9,78,01802710,VI,1898.25676264,284.815599137,-7217833.40231,1964811.63897,34,21,0.0321328585298,2134.22973633,2134.22973633,1995.19884673,2074.22265625,1832.00183105,119.110705308,41899.1757812
472233661.0,4644349190.0,0,A,69,+14.9367835,+145.6010210,00,G4000,Commonwealth of the Northern Mariana Islands,9,69,01779809,MP,5116.54370359,915.150950551,16207713.7035,1830396.63492,35,35,0.141803140802,853.88659668,1576.57507324,1124.85256696,855.616027832,845.782287598,301.008068235,39369.8398438
543397709.0,934511639.0,0,A,66,+13.4382961,+144.7729496,00,G4000,Guam,9,66,01802705,GU,1477.8934092,173.411907553,16115657.6723,1473168.16521,36,16,0.00231395502104,895.855895996,897.010864258,892.712890625,894.089538574,884.617126465,3.72870476844,14283.40625
79885244456.0,11749091526.0,1,A,23,+45.4092789,-068.6665979,00,G4000,Maine,1,23,01779787,ME,91634.0174506,1824.44875692,-7704222.30385,4509366.95851,37,1244,0.174266255681,1970.59729004,2673.91625977,1588.06651929,1364.42944336,367.973480225,496.648238363,1975554.75
1.22054577774e+11,19242052501.0,2,A,36,+42.9133974,-075.5962723,00,G4000,New York,1,36,01779796,NY,141296.440791,2666.09194497,-8415277.28034,4321414.63824,38,1855,0.109505119687,2721.63085938,2881.70336914,2273.15309973,2469.70092773,330.445251465,462.980066869,4216699.0
2.84331571298e+11,2049092975.0,8,A,32,+39.3310928,-116.6151469,00,G4000,Nevada,4,32,01779793,NV,286380.709679,2356.06622936,-12984708.5784,4019862.68482,39,3920,0.412245052431,0.0,939.173828125,312.275542092,363.097595215,0.0,226.948560206,1224120.125
1.47784935955e+12,2.45487700921e+11,9,A,02,+63.3461909,-152.8370690,00,G4000,Alaska,4,02,01785533,AK,1723339.64625,25016.5236703,-16815874.5256,5654961.05792,40,21487,0.955074116823,0.0,1026.38745117,15.8570036534,0.0,0.0,72.3598280177,340719.4375
198019968.0,1306931137.0,0,A,60,-14.2661172,-170.6646022,00,G4000,American Samoa,9,60,01802701,AS,1505.00310624,314.288732187,-18933325.9489,-1528836.16603,41,20,0.0053005209076,741.412536621,745.430480957,739.357128906,741.431762695,710.286987305,9.92220471893,14787.1425781
